time,velocity,heattime,experiment,experimentcolor
2023-12-04 22:15:00,-10.346428571428573,187.82833333333332,0.0,red
2023-12-04 22:31:00,-10.267240612003745,677.9720512820513,0.0,red
2023-12-04 22:46:00,-2.926045883940621,1122.9437179487181,0.0,red
2023-12-04 23:01:00,-0.5855507468937596,1627.6648362748365,0.0,red
2023-12-04 23:16:00,0.518224412802726,2137.7495332445333,0.0,red
2023-12-05 10:31:00,-10.921428571428573,143.70833333333334,1.0,blue
2023-12-05 10:46:00,-11.498508853681267,310.2583333333334,1.0,blue
2023-12-05 11:01:00,-10.9952935694315,485.88333333333344,1.0,blue
2023-12-05 11:16:00,-10.217645231438336,660.4666666666668,1.0,blue
2023-12-05 11:32:00,-9.269602387932695,844.325,1.0,blue
2023-12-05 11:47:00,-7.600925309546,1018.2583333333337,1.0,blue
2023-12-05 12:02:00,-4.79905813731115,1190.2416666666675,1.0,blue
2023-12-05 12:17:00,-1.1396344778697718,1375.5469696969703,1.0,blue
2023-12-05 12:33:00,-0.6424179745608315,1597.5719696969702,1.0,blue
2023-12-06 10:15:00,-10.505952380952381,188.95833333333337,2.0,green
2023-12-06 10:31:00,-10.256498673740055,423.35833333333335,2.0,green
2023-12-06 10:46:00,-10.339978593699103,641.2583333333333,2.0,green
2023-12-06 11:01:00,-8.492857142857142,861.0416666666666,2.0,green
2023-12-06 11:16:00,-6.10294968189705,1080.6833333333336,2.0,green
2023-12-06 11:31:00,-2.5953511098701663,1299.6833333333323,2.0,green
2023-12-06 11:46:00,-0.8137512215552145,1519.5166666666655,2.0,green
2023-12-06 11:59:00,,1711.4916666666654,2.0,green
2023-12-06 21:39:00,-7.61604938271605,256.325,3.0,black
2023-12-06 21:54:00,-9.710330866955188,549.1666666666666,3.0,black
2023-12-06 22:10:00,-7.647530288909599,867.3499999999996,3.0,black
2023-12-06 22:25:00,-7.044240669240669,1165.8500000000001,3.0,black
2023-12-06 22:40:00,-0.2777176457627586,1464.3500000000015,3.0,black
2023-12-06 22:55:00,0.015687095723393326,1770.5750000000012,3.0,black
